Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G7Y0A1,94068,Saguenay,V,02141,Jonquière,100,
G7Y1A1,94068,Saguenay,V,02141,Jonquière,100,
G7Y1A2,94068,Saguenay,V,02141,Jonquière,100,
G7Y1A3,94068,Saguenay,V,02141,Jonquière,100,
G7Y1A4,94068,Saguenay,V,02141,Jonquière,100,
G7Y1A5,94068,Saguenay,V,02141,Jonquière,100,
G7Y1A6,94068,Saguenay,V,02141,Jonquière,100,
G7Y1A7,94068,Saguenay,V,02141,Jonquière,100,
G7Y1A8,94068,Saguenay,V,02141,Jonquière,100,
G7Y1A9,94068,Saguenay,V,02141,Jonquière,100,
G7Y1B1,94068,Saguenay,V,02141,Jonquière,100,
G7Y1B2,94068,Saguenay,V,02141,Jonquière,100,
G7Y1B3,94068,Saguenay,V,02141,Jonquière,100,
