Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G0H0A1,96802,Pessamit,R,09123,Manicouagan,100,
G0H0A2,96025,Pointe-Lebel,VL,09123,Manicouagan,100,
G0H0A3,97022,Port-Cartier,V,09131,Port-Cartier,100,
G0H0A4,96040,Ragueneau,P,09123,Manicouagan,100,
G0H0A5,95050,Colombier,M,09122,Forestville,100,
G0H0A6,96010,Godbout,VL,09123,Manicouagan,100,
G0H0A7,96015,Franquelin,M,09123,Manicouagan,100,
G0H0A8,96035,Chute-aux-Outardes,VL,09123,Manicouagan,100,
G0H0A9,96005,Baie-Trinité,VL,09123,Manicouagan,100,
G0H0B1,96030,Pointe-aux-Outardes,VL,09123,Manicouagan,100,
G0H1A0,97022,Port-Cartier,V,09131,Port-Cartier,1,
G0H1A0,96005,Baie-Trinité,VL,09123,Manicouagan,99,
G0H1B0,96802,Pessamit,R,09123,Manicouagan,100,
G0H1C0,96035,Chute-aux-Outardes,VL,09123,Manicouagan,100,
G0H1E0,96015,Franquelin,M,09123,Manicouagan,100,
G0H1G0,96010,Godbout,VL,09123,Manicouagan,100,
G0H1H0,96030,Pointe-aux-Outardes,VL,09123,Manicouagan,100,
G0H1J0,96030,Pointe-aux-Outardes,VL,09123,Manicouagan,100,
G0H1K0,96902,Rivière-aux-Outardes,NO,09123,Manicouagan,100,
G0H1L0,95902,Lac-au-Brochet,NO,09122,Forestville,100,
G0H1M0,96030,Pointe-aux-Outardes,VL,09123,Manicouagan,100,
G0H1N0,96030,Pointe-aux-Outardes,VL,09123,Manicouagan,100,
G0H1N0,96025,Pointe-Lebel,VL,09123,Manicouagan,100,
G0H1P0,95050,Colombier,M,09122,Forestville,100,
G0H1R0,97022,Port-Cartier,V,09131,Port-Cartier,100,
G0H1S0,96040,Ragueneau,P,09123,Manicouagan,100,
G0H1T0,96902,Rivière-aux-Outardes,NO,09123,Manicouagan,100,
G0H1T0,96020,Baie-Comeau,V,09123,Manicouagan,100,
